case_id,question,reference_answer,expected_filenames,review_status,question_verdict,reference_answer_verdict,source_label_verdict,reviewer_alias,reviewed_at_utc,notes
path-01,怎样让 /items/ 后面的某个 URL 段传入处理函数？,在路径字符串中用花括号声明参数，并在函数参数中接收同名变量。,01-path-params.md,pending,,,,,,
path-02,把商品编号标注为整数后，客户端传入非数字会发生什么？,FastAPI 会解析和验证该路径参数，非法值会得到验证错误响应。,01-path-params.md,pending,,,,,,
path-03,路径参数类型注解除了转换输入外，还会给开发者带来哪些开发体验？,类型注解带来编辑器支持、数据验证和自动 API 文档。,01-path-params.md,pending,,,,,,
path-04,如果接口只接受几种预设的模型名称，如何在路径中表达这个限制？,可定义 Python Enum，并把路径参数标注为该枚举类型。,01-path-params.md,pending,,,,,,
path-05,处理枚举路径参数时，怎样获取它实际对应的字符串值？,通过枚举成员的 value 属性取得其底层值。,01-path-params.md,pending,,,,,,
path-06,为什么固定路径 /users/me 要放在 /users/{user_id} 之前声明？,路由匹配按声明顺序处理，固定路径应先匹配以免被参数路径吞掉。,01-path-params.md,pending,,,,,,
path-07,文件路径参数本身包含斜杠时，FastAPI 路由应使用哪种转换器语法？,使用 {file_path:path} 形式的路径转换器。,01-path-params.md,pending,,,,,,
path-08,为什么把完整文件系统路径放入路径参数在 OpenAPI 中有额外限制？,OpenAPI 没有标准方式表示参数内部再包含路径，这类场景难以定义和测试。,01-path-params.md,pending,,,,,,
query-01,列表接口没有传分页参数时，skip 和 limit 会取什么来源的值？,会使用函数声明中的默认值。,02-query-params.md,pending,,,,,,
query-02,URL 问号后由 & 分隔的一组键值在 HTTP 中属于什么输入位置？,属于查询参数。,02-query-params.md,pending,,,,,,
query-03,为何查询字符串里的数字需要在函数签名中声明类型？,URL 中原始值是字符串，类型注解让 FastAPI 转换并验证。,02-query-params.md,pending,,,,,,
query-04,怎样把一个可不传的搜索词设计成缺省时为 None？,声明联合可空类型并给参数默认值 None。,02-query-params.md,pending,,,,,,
query-05,同一处理函数里，框架如何区分 item_id 是路径参数而 q 是查询参数？,出现在路由路径模板中的同名参数是路径参数，其余普通参数会被解释为查询参数。,02-query-params.md,pending,,,,,,
query-06,布尔查询参数 short=on 会被解析成什么布尔结果？,会被识别为 True。,02-query-params.md,pending,,,,,,
query-07,一个字符串查询参数没有默认值时，客户端遗漏它会怎样？,它会被视为必填参数，缺失时返回验证错误。,02-query-params.md,pending,,,,,,
query-08,为什么不能仅靠 str | None 判断查询参数是否可选？,是否必填由默认值决定；没有默认值仍是必填。,02-query-params.md,pending,,,,,,
body-01,提交商品信息时，推荐用什么 Pydantic 基类描述 JSON 结构？,使用 Pydantic 的 BaseModel 定义请求体模型。,03-request-body.md,pending,,,,,,
body-02,请求体模型声明字段后，FastAPI 能自动提供哪些能力？,可解析输入、验证数据、生成 OpenAPI/交互文档并提供编辑器支持。,03-request-body.md,pending,,,,,,
body-03,在处理函数里想把 Pydantic 商品对象转成字典，示例使用什么方法？,使用 model_dump()。,03-request-body.md,pending,,,,,,
body-04,更新 /items/{item_id} 时，路径编号和商品 JSON 能否在一个函数签名中同时声明？,可以，路径参数和 Pydantic 请求体参数可同时使用。,03-request-body.md,pending,,,,,,
body-05,一个参数既不在路径模板中、又是简单的 str 或 int，FastAPI 默认从哪里取它？,默认把它解释为查询参数。,03-request-body.md,pending,,,,,,
body-06,同一个 PUT 接口同时有路径、查询和模型参数时，框架如何判定模型参数的来源？,Pydantic 模型类型的参数会被解释为请求体。,03-request-body.md,pending,,,,,,
body-07,请求体字段给了默认值后，调用方遗漏这个字段通常有什么效果？,字段成为可选并使用声明的默认值。,03-request-body.md,pending,,,,,,
body-08,不使用 Pydantic 时，FastAPI 是否仍可声明单个请求体字段？,可以，但模型通常更适合定义复杂结构和获得完整支持。,03-request-body.md,pending,,,,,,
deps-01,在多个接口都要解析相同公共查询条件时，FastAPI 建议用什么机制复用？,把公共逻辑声明为依赖并通过 Depends 注入。,04-dependencies.md,pending,,,,,,
deps-02,依赖函数可以接收查询参数吗，框架会如何处理它们？,可以，FastAPI 会像处理路径操作参数一样解析和验证依赖的参数。,04-dependencies.md,pending,,,,,,
deps-03,在路径操作函数签名中怎样标记一个参数由依赖提供？,导入并使用 Depends。,04-dependencies.md,pending,,,,,,
deps-04,为什么文档建议用 Annotated 形式给共享依赖起类型别名？,它能减少重复声明，同时保留类型信息和依赖元数据。,04-dependencies.md,pending,,,,,,
deps-05,依赖函数必须全部写成 async def 吗？,不是，普通 def 和 async def 都可作为依赖。,04-dependencies.md,pending,,,,,,
deps-06,依赖中声明的参数会不会出现在自动生成的 OpenAPI 文档中？,会，依赖与 OpenAPI 集成。,04-dependencies.md,pending,,,,,,
deps-07,依赖注入对插件或共享组件有什么实际价值？,它让可复用组件可在多个路径操作中组合，而无需手工重复调用逻辑。,04-dependencies.md,pending,,,,,,
deps-08,把认证校验放进依赖而非每个接口函数的直接好处是什么？,可复用并统一参数验证、文档和调用顺序。,04-dependencies.md,pending,,,,,,
response-01,接口返回类型注解与 response_model 同时存在时，哪个配置决定实际响应模型？,response_model 的优先级更高。,05-response-model.md,pending,,,,,,
response-02,为什么创建用户接口常常要单独定义输出模型？,输出模型可过滤掉密码等不应返回给客户端的字段。,05-response-model.md,pending,,,,,,
response-03,response_model 除了文档展示外，还会在返回数据上做什么？,它会验证、转换并过滤输出数据。,05-response-model.md,pending,,,,,,
response-04,直接返回一个 Response 对象时，FastAPI 还会按 response_model 校验它吗？,直接返回 Response 时不会再执行 response_model 的数据校验和过滤。,05-response-model.md,pending,,,,,,
response-05,函数返回类型复杂到无法表达时，怎样关闭自动响应模型生成？,可以设置 response_model=None。,05-response-model.md,pending,,,,,,
response-06,只想返回客户端设置过的字段而不带默认值，响应模型应启用什么选项？,使用 response_model_exclude_unset。,05-response-model.md,pending,,,,,,
response-07,response_model_include 和 response_model_exclude 的集合参数通常应优先用什么类型？,文档建议使用 set；list 也可用但语义上集合更合适。,05-response-model.md,pending,,,,,,
response-08,为何要把数据库内部模型和对外返回模型分开？,可限制暴露字段并让外部 API 契约独立于内部存储。,05-response-model.md,pending,,,,,,
errors-01,业务条件不满足时，FastAPI 推荐返回错误对象还是抛出 HTTPException？,推荐抛出 HTTPException。,06-handling-errors.md,pending,,,,,,
errors-02,HTTPException 的 detail 只能是一段字符串吗？,不是，detail 可以是可 JSON 序列化的数据。,06-handling-errors.md,pending,,,,,,
errors-03,需要在错误响应里附带自定义头时，应在哪个异常参数中指定？,在 HTTPException 的 headers 参数中指定。,06-handling-errors.md,pending,,,,,,
errors-04,想把自定义业务异常转换为统一 HTTP 响应，应注册什么？,注册自定义异常处理器。,06-handling-errors.md,pending,,,,,,
errors-05,覆盖请求参数校验失败的默认返回格式，需要处理哪种异常？,处理 RequestValidationError。,06-handling-errors.md,pending,,,,,,
errors-06,服务端响应数据本身无效时，为什么不应把内部验证错误直接原样返回给客户端？,这通常表示服务端 bug，直接暴露可能泄露内部细节。,06-handling-errors.md,pending,,,,,,
