case_id,question,reference_answer,answer,citation_filenames,citation_chunk_ids,model,model_latency_ms,retrieval_latency_ms,outcome,review_status,review_method,answer_verdict,citation_verdict,refusal_verdict,reviewer_alias,reviewed_at_utc,notes
path-01,怎样让 /items/ 后面的某个 URL 段传入处理函数？,在路径字符串中用花括号声明参数，并在函数参数中接收同名变量。,在 FastAPI 中，通过在路由中使用花括号占位符并声明函数参数来实现，例如 /items/{item_id}，然后在处理函数中定义参数 item_id。,06-handling-errors.md; 06-handling-errors.md,3cecfab5-4f67-4414-b81c-96a22b3cee9b; 594230bd-84f9-42b0-8321-024bf8cc5889,deepseek-v4-flash,5913,1396.042,answered,approved,human,pass,fail,not_applicable,reviewer-cen,2026-07-15T07:02:32.684Z,
path-02,把商品编号标注为整数后，客户端传入非数字会发生什么？,FastAPI 会解析和验证该路径参数，非法值会得到验证错误响应。,客户端传入非数字时，FastAPI 会触发数据验证失败，返回一个包含错误详情的 JSON 响应，其中会指出该字段的值不是有效的整数。,06-handling-errors.md; 01-path-params.md,dec8f75d-42d9-453b-878b-35ce2b221a5f; 4d135f4f-854e-4ad8-aa70-49be67baaff0,deepseek-v4-flash,3470,1265.639,answered,approved,human,pass,fail,not_applicable,reviewer-cen,2026-07-15T07:02:58.602Z,
path-03,路径参数类型注解除了转换输入外，还会给开发者带来哪些开发体验？,类型注解带来编辑器支持、数据验证和自动 API 文档。,数据验证、清晰的错误信息、自动交互式文档、编辑器支持、JSON Schema生成等。,01-path-params.md; 01-path-params.md; 03-request-body.md,386a4fcb-5a8c-4682-9fb5-93e6f2885cd9; d5826a14-ecdf-41be-9444-70b836c2a929; 58cc7cc9-27cb-4a47-b868-81ccaff8186d,deepseek-v4-flash,6605,1271.545,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:03:19.817Z,
path-04,如果接口只接受几种预设的模型名称，如何在路径中表达这个限制？,可定义 Python Enum，并把路径参数标注为该枚举类型。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1329.265,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:04:34.252Z,
path-05,处理枚举路径参数时，怎样获取它实际对应的字符串值？,通过枚举成员的 value 属性取得其底层值。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1198.982,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:06:29.785Z,
path-06,为什么固定路径 /users/me 要放在 /users/{user_id} 之前声明？,路由匹配按声明顺序处理，固定路径应先匹配以免被参数路径吞掉。,因为路径操作按顺序评估，如果 /users/{user_id} 先声明，它会匹配 /users/me，导致固定路径无法被正确匹配。,01-path-params.md; 01-path-params.md,1ea45a8b-7257-4a40-b925-5a224ed03c77; 7043c3c0-36ab-4875-8914-c03c2cc7f238,deepseek-v4-flash,3638,1277.207,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:11:04.103Z,
path-07,文件路径参数本身包含斜杠时，FastAPI 路由应使用哪种转换器语法？,使用 {file_path:path} 形式的路径转换器。,我无法根据当前检索到的资料生成带有效引用的回答。,,,retrieval-guard,0,1300.818,retrieval_guard_invalid_citation,approved,human,not_applicable,not_applicable,fail,reviewer-cen,2026-07-15T07:09:19.053Z,
path-08,为什么把完整文件系统路径放入路径参数在 OpenAPI 中有额外限制？,OpenAPI 没有标准方式表示参数内部再包含路径，这类场景难以定义和测试。,因为 OpenAPI 不支持声明路径参数来包含路径，因为这可能导致难以测试和定义的场景。,01-path-params.md,c762c04a-6f38-4e3e-8840-fc4a81af806b,deepseek-v4-flash,3264,1241.835,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:09:42.636Z,
query-01,列表接口没有传分页参数时，skip 和 limit 会取什么来源的值？,会使用函数声明中的默认值。,默认情况下，skip 取 0，limit 取 10。,02-query-params.md; 02-query-params.md; 02-query-params.md,3ab86f3e-f476-44b0-b2c5-b4ff4bc414f2; 1e6b886f-53f4-4cfe-bdf0-21fb526f89f2; dca9320e-c1da-4cac-8dea-52760c2d7def,deepseek-v4-flash,9951,1308.973,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:10:15.736Z,
query-02,URL 问号后由 & 分隔的一组键值在 HTTP 中属于什么输入位置？,属于查询参数。,query parameters（查询参数）,02-query-params.md,dca9320e-c1da-4cac-8dea-52760c2d7def,deepseek-v4-flash,3271,1360.285,answered,approved,human,pass,pass,not_applicable,reviewer-cen,2026-07-15T07:10:27.986Z,
